Channel,Logo (optional URL),VTVgo,MyTV,TV360,FPT Play,VTVprime,SCTV Online,HTVm,K+,ClipTV,VieON,Msky,VTVcab,SCTV,K+ (DTH),VTC Digital (DTH),AVG (DTH),AVG (DTT),Notes (optional)
TN Thái Nguyên,,yes,yes,yes,yes,,,,,,,,,,,,,,
TTV Thanh Hoá,,yes,yes,yes,yes,,,,,,,,,,,,,,
TTV Tuyên Quang,,yes,yes,yes,yes,,,,,,,,,,,,,,
THVL1 Vĩnh Long,,,yes,yes,yes,,,,,,,,,,,,,,
THVL2 Vĩnh Long,,,yes,yes,yes,,,,,,,,,,,,,,
THVL3 Vĩnh Long,,,yes,yes,yes,,,,,,,,,,,,,,
THVL4 Vĩnh Long,,,yes,yes,yes,,,,,,,,,,,,,,
THVL5 Vĩnh Long,,,yes,yes,,,,,,,,,,,,,,,
BTV6 - Shopping 24h,,,yes,,,,,,,,,,,,,,,,
HiTV,,,,yes,,,,,,,,,,,,,,,
YouTV,,,,,,,,,,,,,,,,,,,
HBO,,,yesiptv,yesiptv,yesiptv,,,,,,,,,,,,,,
Cinemax,,,yesiptv,,yesiptv,,,,,,,,,,,,,,
CinemaWorld,,,yesott,,yesiptv,,,,,,,,,,,,,,
DreamWorks,,,yes,,yesiptv,,,,,,,,,,,,,,
Cartoon Network,,,yes,yes,yesiptv,,,,,,,,,,,,,,
Cartoonito,,,,,yesiptv,,,,,,,,,,,,,,
CBeebies,,,,,yesiptv,,,,,,,,,,,,,,
AXN,,,yes,yes,yesiptv,,,,,,,,,,,,,,
Warner TV,,,yes,yes,yesiptv,,,,,,,,,,,,,,
FashionTV,,,yes,,yesiptv,,,,,,,,,,,,,,
DMAX,,,yesott,,,,,,,,,,,,,,,,
Animal Planet,,,yes,,yesiptv,,,,,,,,,,,,,,
TLC,,,yes,,yesiptv,,,,,,,,,,,,,,
Discovery Channel,,,yes,yes,yesiptv,,,,,,,,,,,,,,
Discovery Asia,,,,,yesiptv,,,,,,,,,,,,,,
BBC Earth,,,,,yesiptv,,,,,,,,,,,,,,
BBC Lifestyle,,,,,yesiptv,,,,,,,,,,,,,,
BBC News,,,,,yesiptv,,,,,,,,,,,,,,
CNN,,,yes,yes,yesiptv,,,,,,,,,,,,,,
ABC Australia,,,yes,yes,yesiptv,,,,,,,,,,,,,,
Bloomberg,,,,,yesiptv,,,,,,,,,,,,,,
Outdoor Channel,,,yes,yes,yes,,,,,,,,,,,,,,
CNA,,,yes,yes,yes,,,,,,,,,,,,,,
Asian Food Network,,,yes,yes,yes,,,,,,,,,,,,,,
HGTV,,,,yes,,,,,,,,,,,,,,,
HISTORY,,,,yes,,,,,,,,,,,,,,,
KIX,,,,,yes,,,,,,,,,,,,,,
CNBC,,,yes,yes,yes,,,,,,,,,,,,,,
NHK World-Japan,,,yes,yes,yes,,,,,,,,,,,,,,
France 24 English,,,yes,yes,yes,,,,,,,,,,,,,,
France 24 French,,,,,,,,,,,,,,,,,,,
TV5 Monde Asie,,,yes,,yes,,,,,,,,,,,,,,
DW,,,yes,,yes,,,,,,,,,,,,,,
Arirang,,,yes,yes,yes,,,,,,,,,,,,,,
Da Vinci,,,yes,yes,yes,,,,,,,,,,,,,,
KBS World,,,yes,yes,yes,,,,,,,,,,,,,,
Box Movie 1,,,,yes,,,,,,,,,,,,,,,
Hollywood Classics,,,,yes,,,,,,,,,,,,,,,
Box Hits,,,yes,yes,,,,,,,,,,,,,,,
Box Channel,,,,yes,,,,,,,,,,,,,,,
WOMAN,,,,yes,,,,,,,,,,,,,,,
Dr.Fit,,,,yes,,,,,,,,,,,,,,,
Music Box,,,yes,yes,,,,,,,,,,,,,,,
MAN,,,,yes,,,,,,,,,,,,,,,
Planet Earth,,,,yes,,,,,,,,,,,,,,,
